en_core_web_sm,fr_core_news_sm
we re going down .,nous descendons .
i m actually a little afraid .,en fait j ai un peu peur .
she is doing her homework now .,elle est actuellement en train de faire ses devoirs .
i m sad without you .,sans toi je suis triste .
i m tired of boston .,je suis fatiguee de boston .
i am looking for a job sir .,je recherche un emploi monsieur .
you are hearing things .,vous entendez des choses .
he is much taller than i am .,il est beaucoup plus grand que moi .
i m going to take a shower .,je vais me doucher .
we re the same .,nous sommes pareils .
i m sorry to have made you wait .,desole de vous avoir fait attendre .
i m a little disappointed .,je suis un peu decu .
i m not going to school anymore .,je ne vais plus a l ecole .
you re assertive .,vous savez vous faire comprendre .
you re cantankerous .,vous etes acariatre .
i m very proud of all of you .,je suis tres fier de vous toutes .
he s certain to succeed .,c est sur qu il reussira .
i m going to ask for a new desk .,je vais demander un nouveau bureau .
she is used to staying up all night .,elle est accoutumee a rester debout toute la nuit .
he is not like he seems .,il n est pas tel qu il parait .
i m afraid of losing you .,j ai peur de te perdre .
he s very experienced .,il a beaucoup d experience .
he s not perfect .,il n est pas parfait .
we re very happy about it .,nous en sommes tres heureux .
i m not the problem .,le probleme ce n est pas moi .
i m happy you two are friends again .,je suis heureux que toutes deux soyez a nouveau amies .
i am totally confused .,je suis completement perdue .
he is a considerate father .,c est un pere attentionne .
he s a very talented man .,c est un homme tres talentueux .
we re safe here .,nous sommes en securite ici .
you are cleared for takeoff .,votre decollage est confirme .
you re very generous .,vous etes fort genereux .
you aren t yourself today .,tu n es pas toi meme aujourd hui .
you re lucky to have a job .,vous etes chanceuses d avoir un boulot .
you re disappointed aren t you ?,vous etes decue n est ce pas ?
i m a lonely man .,je suis un homme solitaire .
we re going to my folks for christmas this year .,nous allons chez ma famille pour noel cette annee .
they re mine .,ce sont les miens .
you re putting me on .,vous vous foutez de moi .
i m studying french and web design .,je suis en train d etudier le francais et le web design .
we re not dating .,nous ne fricotons pas .
they are pleased with your work .,ils sont satisfaits de ton travail .
they re looking for you .,ils sont en train de te chercher .
i m not good at this .,je ne suis pas bon a ca .
i m sorry to trouble you .,je suis desolee de te deranger .
you are abusing your authority .,vous abusez de votre autorite .
i m nervous .,je suis nerveuse .
i m at home .,je suis a la maison .
she is much taller than me .,elle est bien plus grande que moi .
you re the only one who can do this .,tu es le seul a pouvoir faire ca .
i m rather surprised to hear it .,je suis plutot surpris d entendre cela .
we re dealing with it .,nous nous en occupons .
she is not only intelligent but beautiful .,elle est non seulement intelligente mais aussi jolie .
you re not allowed to eat those .,tu n es pas autorisee a manger ceux ci .
she s a model .,c est un mannequin .
i m very sorry i lied .,je suis vraiment desole d avoir menti .
i m your friend .,je suis ton amie .
i m not certain we can get tickets tonight .,je ne suis pas certain que nous puissions obtenir des billets ce soir .
i m getting married this year .,je me marie cette annee .
he is ashamed of his father being poor .,il a honte de la pauvrete de son pere .
you re very sophisticated .,vous etes fort elegantes .
i m cooking .,je cuisine .
i m glad to see you re finally happy .,je suis ravi de te voir finalement heureux .
she is afraid of cats .,elle a peur des chats .
you re disappointed aren t you ?,vous etes decu n est ce pas ?
i m not easily offended .,je ne suis pas facilement offense .
he is playing outdoors .,il joue dehors .
i m not crazy .,je ne suis pas folle .
he is precisely the one you are looking for .,il est precisement celui que vous cherchez .
you re satisfied .,tu es content .
i m on good terms with the neighbors .,j ai de bonnes relations avec mes voisins .
he s a man of many talents .,c est un homme aux multiples talents .
we re having breakfast .,nous petit dejeunons .
i am content with my current position .,je suis satisfait de ma position actuelle .
i m not sure how to answer this .,je ne suis pas sur de la maniere avec laquelle repondre a ca .
he is not a patient but a doctor in this hospital .,ce n est pas un patient il est medecin dans cet hopital .
you re not sleeping enough .,vous ne dormez pas suffisamment .
you re not dressed .,tu n es pas habillee .
i m glad to see you here .,je suis content de te voir ici .
they are chiseling a statue out of marble .,ils sculptent une statue de marbre .
i m very happy .,je suis tres heureux .
i m working as a bartender now .,je travaille comme barman maintenant .
you re just not the person i thought you were .,vous n etes simplement pas la personne que je pensais .
i m not entirely sure .,je ne suis pas entierement sure .
you re sleepy .,vous etes endormi .
he s mad at his daughter .,il est en colere apres sa fille .
i m tidy .,je suis ordonne .
they re still not safe .,elles ne sont toujours pas en securite .
i am hers and she is mine .,je suis sien et elle est mienne .
he is the greatest living artist .,c est le plus grand artiste vivant .
he is constantly complaining .,il ne fait que se plaindre .
they re back .,ils sont de retour .
you re going to be jealous .,tu vas etre jaloux .
you re hard to please aren t you ?,vous etes difficile a satisfaire n est ce pas ?
she s a violinist of some renown .,c est une violoniste d une certaine renommee .
they re not bad .,ils ne sont pas mal .
he is a good tennis player .,c est un tres bon joueur de tennis .
they re out to get you .,ils sont a vos trousses .
you re pretty good .,t es assez bon .
you are no longer welcome here .,vous n etes plus les bienvenues ici .
you re really weird .,tu es vraiment bizarre .
i m not sure i understand .,je ne suis pas sur de comprendre .
we re looking forward to the holidays .,nous attendons les vacances avec impatience .
i m your best friend .,je suis ton meilleur ami .
i m going to go buy some materials today .,je vais aller acheter des materiaux aujourd hui .
i m here to help change that .,je suis ici pour aider a changer cela .
he is good at singing .,il chante bien .
i m a beginner too .,moi aussi je suis un debutant .
i m not telling you again .,je ne vais pas vous le repeter .
you re hurting him .,tu lui fais mal .
you re no longer allowed to speak .,vous n etes plus autorise a parler .
i m getting a bit confused .,je suis un peu confus .
you re really in bad shape .,vous etes vraiment en mauvais etat .
i m often mistaken for my brother .,on me confond souvent avec mon frere .
i m counting how many people there are .,je suis en train de compter combien de gens il y a .
i m beginning to think you re serious .,je commence a penser que tu es serieuse .
you re the only person i know who is qualified for this job .,vous etes la seule personne que je connaisse qui soit qualifiee pour ce poste .
you re forgiven .,tu es pardonnee .
you re perfectly normal .,vous etes parfaitement normale .
i m working on another project now .,je travaille sur un autre projet en ce moment .
i m bluffing .,j y vais au flan .
i am yours and you are mine .,je suis tien et tu es mienne .
i m familiar with the situation .,je suis habituee a la situation .
i m really tired .,je suis vraiment fatigue .
i m not expecting special treatment .,je ne m attends pas a un traitement de faveur .
you re very busy .,vous etes fort occupee .
he s not smart enough to add numbers in his head .,il n a pas assez de cervelle pour faire des additions de tete .
he s good at cards .,il est bon aux cartes .
he is uncertain about his future .,il n est pas sur de ce que l avenir lui reserve .
i m glad i hired you .,je suis content de t avoir engage .
i m kind of busy right now .,je suis un peu occupe la .
she s not from here . she was born in another country .,elle n est pas d ici . elle est nee dans un autre pays .
i m very sensitive to heat .,je suis tres sensible a la chaleur .
i m beginning to remember it .,je commence a m en souvenir .
i m kind of busy right now tom .,je suis assez occupe tom .
you re not prepared for what awaits you .,tu n es pas preparee a ce qui t attend .
you re extroverted .,vous etes extraverti .
i m going to tell you the truth .,je vais te dire la verite .
you re free .,vous etes libres .
you re the only person i know who regularly gets my name wrong .,tu es la seule personne que je connaisse qui ecorche regulierement mon nom .
i m the youngest in the family .,je suis la plus jeune enfant .
we re not the only ones who ve made mistakes .,nous ne sommes pas les seuls a avoir fait des erreurs .
we re aware of that .,nous sommes conscients de ca .
he s a scriptwriter .,il est scenariste .
i m sorry i told you .,je suis desolee de vous l avoir dit .
he is sure of success .,il est sur de reussir .
he s always complaining about the food .,il se plaint toujours de la nourriture .
he is by far the best player on the team .,il est de loin le meilleur joueur de l equipe .
i m not worried about losing my job .,je ne suis pas inquiet de perdre mon emploi .
you re the nicest girlfriend i ever had .,tu es la plus chouette petite copine que j ai jamais eue .
you are always watching tv .,tu regardes tout le temps la tele .
she is holding her baby in her arms .,elle tient son bebe dans ses bras .
we re enemies .,nous sommes ennemies .
i m sorry but the answer is no .,je suis desole mais la reponse est non ! .
i m definitely impressed .,je suis fort impressionnee .
she is not rich enough to waste money .,elle n est pas assez riche pour gaspiller de l argent .
i am grateful for your help .,je te suis reconnaissant pour ton aide .
she s young enough to be your daughter .,elle est assez jeune pour etre ta fille .
you re not that old .,tu n es pas si vieille .
you re big .,vous etes grande .
they are alone .,ils sont seuls .
you re unnecessary .,t es inutile .
you re very strong .,vous etes tres fort .
i am looking forward to seeing you again soon .,je me rejouis de vous revoir bientot .
i m going to be out today .,je vais etre a l exterieur aujourd hui .
i m still part of this family .,je fais encore partie de cette famille .
she is very annoyed with me .,elle est tres fachee apres moi .
she isn t old enough to get a driver s license .,elle n est pas assez grande pour obtenir son permis de conduire .
i m just as frustrated as everyone else .,je suis tout aussi frustre que quiconque .
i m using the computer .,je suis en train d utiliser l ordinateur .
i m going to be a father .,je vais etre pere .
she s only interested in fish and cockroaches .,elle est seulement interessee par les poissons et les cafards .
you are not at all wrong .,tu n as pas tort du tout .
i m a married man now .,je suis un homme marie maintenant .
we re home .,nous sommes chez nous .
you re stuck .,vous etes plante .
i m shocked .,je suis choquee .
i m usually not this busy .,je ne suis pas si occupe d habitude .
i m wondering if i love tom .,je me demande si j aime tom .
i m very hungry .,j ai les crocs .
he s a journalist .,c est un journaliste .
we re trying to stay up to date .,nous essayons de rester a jour .
i m expecting tom to be there .,je m attends a ce que tom soit la .
they re going to the war .,ils vont a la guerre .
he s behaving oddly .,il se comporte de facon bizarre .
she isn t afraid of death .,elle n a pas peur de la mort .
he s already too far away to hear us .,il est deja trop loin pour nous entendre .
he is watching tv .,il regarde la television .
i am accustomed to staying up late .,je suis habitue a veiller tard .
he s already married .,il est deja marie .
you re really selfish .,vous etes vraiment egoiste .
he is in his library .,il est dans sa bibliotheque .
i m only the mechanic .,je ne suis que le mecanicien .
i m glad to see you re happy .,je me rejouis de te voir heureux .
you re very shy .,vous etes fort timide .
you re the master .,c est vous le maitre .
i m with somebody .,je suis avec quelqu un .
he s used to speaking in public .,il est habitue a parler en public .
you re trustworthy .,tu es fiable .
i m not sitting here .,je ne vais pas m asseoir ici .
i m not as rich as i was .,je ne suis pas aussi riche que je l etais .
they re coming .,elles sont en train d arriver .
they re trying out a new car .,ils essaient une nouvelle voiture .
i m trying to figure out what you do for fun .,j essaie de comprendre ce que tu fais pour t amuser .
you are the one .,tu es l elu .
you are so childish sometimes .,tu es parfois si pueril .
i m not interested in science .,la science ne m interesse pas .
i am working on my new book .,je travaille a mon nouveau livre .
he is my close friend .,c est mon ami intime .
i m no longer angry at you .,je ne suis plus en colere apres vous .
we re in the process of remodelling our kitchen .,nous sommes en train de reamenager notre cuisine .
i am glad to help you .,je suis ravie de vous aider .
i am in trouble .,je suis mal barree .
i m often told i don t look good in a skirt .,on me dit souvent que les jupes ne me vont pas bien .
i m so glad tom won the race .,je suis si contente que tom ait gagne la course .
i m delighted to see you .,je suis ravie de vous voir .
you re the owners .,c est vous les proprietaires .
you re new here aren t you ?,tu es nouveau ici n est ce pas ?
they are both good teachers .,ce sont tous les deux de bons professeurs .
he is expected to come home soon .,on s attend a ce qu il rentre bientot a la maison .
you re worried aren t you ?,vous etes inquiete n est ce pas ?
i m not hungry yet .,je n ai pas encore faim .
i m supposed to do that by myself .,je suis cense le faire moi meme .
i m very sad .,je suis tres triste .
i am looking forward to christmas .,j attends noel avec impatience .
we re going back to boston .,nous retournons a boston .
i m going to go buy some materials today .,je vais aller acheter quelques materiaux aujourd hui .
they are wrestlers .,ils sont lutteurs .
i m going to go now .,je vais maintenant y aller .
i m ready to throw in the towel .,je suis pret a jeter l eponge .
he is studying in the library now .,il etudie a la bibliotheque maintenant .
he s active and fit .,il est actif et en forme .
they re expensive .,elles sont onereuses .
you are a teacher .,tu es enseignante .
i m just a poor student .,je ne suis qu un pauvre etudiant .
they re just for you .,ils sont juste pour vous .
i m looking forward to that .,j en suis impatiente .
we aren t as old as tom is .,nous ne sommes pas aussi ages que tom .
i m glad i did it .,je me rejouis de l avoir fait .
we re pretty tight .,notre horaire est assez serre .
i m not used to doing that yet .,je ne suis pas encore habitue a faire ca .
i am very pleased .,je suis tres satisfait .
he is italian by birth .,il est italien de naissance .
i m beginning to feel cold .,je commence a avoir froid .
i m afraid tom will get lost .,je crains que tom ne se perde .
you are the one .,vous etes l elue .
i am hoarse from yelling so much .,je n ai plus de voix a force de crier .
we re open tomorrow night .,nous sommes ouverts demain soir .
she s not penniless .,elle n est pas sans argent .
he is foolish .,il est idiot .
i m deeply offended by this .,je suis profondement offense par ceci .
i m sorry it won t happen again .,je suis desole ca ne se reproduira pas .
she s an only child .,elle est fille unique .
we re fighting .,nous sommes en train de nous battre .
i m married .,je suis mariee .
i m afraid i have to ask you to leave .,j ai bien peur de devoir vous demander de partir .
you re contagious .,vous etes contagieux .
you re so weird .,tu es si bizarre .
i m sorry i made you cry yesterday .,je suis desole de t avoir fait pleurer hier .
i m just being honest .,je suis simplement franc .
i m glad you liked it .,je suis heureuse que tu l aies apprecie .
i am very glad to see you .,je suis tres heureux de vous voir .
you re overworked .,vous etes surmenes .
he is proud of his father being rich .,il est fier que son pere soit riche .
i m shorter than you .,je suis plus petit que toi .
i m not ready to fight .,je ne suis pas prete a me battre .
i m not marrying you .,je ne vais pas t epouser .
he is lying on the sofa .,il est etendu sur le canape .
you re foolish .,vous etes imprudente .
i m glad to see you .,je suis enchante de vous rencontrer .
she is blackmailing him .,elle le fait chanter .
he s a bartender .,c est un tenancier de bar .
i m going to ask you to leave now .,je vais vous demander de partir maintenant .
he is not likely to succeed .,il semble probable qu il echoue .
i m proud of you all .,je suis fiere de vous toutes .
you re too old for me .,vous etes trop vieux pour moi .
you re too slow .,vous etes trop lent .
i m amazed at his rapid progress in english .,je suis stupefait de son rapide progres en anglais .
we are having trouble with our new neighbor .,nous avons des problemes avec notre nouveau voisin .
we re still underage .,nous sommes encore mineurs .
i m aware of the risks .,je suis consciente des risques .
you re not that old .,vous n etes pas si vieux .
we re worried about grandma and grandpa .,nous nous faisons du souci pour grand papa et grand maman .
you re seriously ill .,tu es un grand malade .
you re a very sensitive guy aren t you ?,t es un mec tres sensible n est ce pas ?
i m plastered .,je suis bourre .
we re just hanging out .,on ne fait que sortir ensemble .
i m not that worried .,je ne suis pas si preoccupe .
i m old enough to do that by myself .,je suis assez grande pour le faire moi meme .
i m super hungry .,j ai super faim .
i m the only one you can trust .,je suis la seule a qui vous pouvez faire confiance .
i m starting to believe that .,je commence a le croire .
he is not what he used to be .,il n est plus ce qu il etait .
i m so happy to hear that .,je suis tellement heureux d entendre cela .
i m really happy that we won .,je suis vraiment heureuse que nous ayons gagne .
you re very clever .,tu es fort ingenieuse .
you re the oldest .,tu es la doyenne .
i m in love with you .,je suis amoureuse de toi .
you are taller than she is .,vous etes plus grands qu elle .
she is angry with me .,elle est en colere apres moi .
i m scheduled to have lunch with him .,il est prevu que je dejeune avec lui .
i m glad that makes you happy .,je suis content que ca vous rende heureuse .
we re not all that stupid .,nous ne sommes pas tous aussi idiots .
i m ready if you are .,je suis prete si tu l es .
i m a friend of theirs .,je suis un de leurs amis .
i am looking for a book about medieval spain .,je cherche un livre a propos de l espagne medievale .
you are mad .,tu es fou .
i m not sure what it was but it sounded like a gunshot .,je ne suis pas sure de ce dont il s agissait mais cela fit le bruit d une detonation .
you re very curious .,vous etes tres curieuse .
i m now your boss .,je suis desormais ton superieur .
he s saving up to go to college .,il economise de l argent afin qu il puisse aller a l universite .
they aren t alone .,elles ne sont pas seules .
you re not as smart as me .,tu n es pas aussi maligne que moi .
you re one of them aren t you ?,vous en faites partie n est ce pas ?
she s almost the same height as you .,elle est presque aussi grande que toi .
i m sorry if i disturbed you .,je suis desole si je vous ai derangees .
he s likely to come .,il est probable qu il vienne .
you re just like your father .,tu es exactement comme ton pere .
he is trying hard to give up smoking .,il fait des efforts pour arreter de fumer .
you re sloshed .,t es bourre .
i m from the city .,je viens de la ville .
he is tired from overwork .,il est fatigue a cause du surmenage .
you re not very organized are you ?,tu n es pas tres organisee n est ce pas ?
i m happy that you were able to find a job so quickly .,je suis heureuse que tu aies pu trouver un travail si rapidement .
i m getting too old for this .,je deviens trop vieux pour ca .
we re going to be late again .,nous allons a nouveau etre en retard .
i m sorry . i didn t mean to make you cry .,je suis desolee . je ne voulais pas vous faire pleurer .
you re a good student .,tu es une bonne etudiante .
i am no match for him .,je ne suis pas de taille a me mesurer a lui .
you re a very gifted artist .,tu es un artiste tres doue .
i m feeling sort of tired .,je me sens plutot fatiguee .
you re going to be jealous .,vous allez etre jalouse .
i m the boss around here .,c est moi le patron par ici .
i m very slow at making up my mind .,je suis tres lent pour me decider .
he s just kidding you .,il se moque juste de toi .
i m afraid i ve offended you .,je crains de t avoir offensee .
i m the youngest child .,je suis la plus jeune enfant .
you re fair .,vous etes justes .
i m going to drop in on her next week .,je prevois de passer par chez elle la semaine prochaine .
she is quick at everything .,elle est rapide pour tout .
i m going to kill him for this !,je vais le tuer pour ca !
you re innocent .,vous etes innocents .
he is my classmate .,c est mon camarade de classe .
i m here to help you .,je suis ici pour t aider .
you re a big boy .,tu es un grand garcon .
i m not busy today .,je ne suis pas occupe aujourd hui .
you re the only one who can help me .,vous etes la seule a pouvoir m aider .
i m so cold .,j ai tellement froid .
you re not alone anymore .,tu n es plus seule .
i m sure they ll be very happy together .,je suis sur qu ils seront tres heureux ensemble .
he s eager to speak to you .,il a hate de vous parler .
he s doing his best .,il fait de son mieux .
i m not allowed to leave .,on ne m autorise pas a partir .
i m too tired to walk any further .,je suis trop fatigue pour continuer de marcher .
i am a stranger here .,je suis un etranger ici .
i m sorry i don t mean to pry .,je suis desolee je ne veux pas m immiscer .
they are approaching .,elles approchent .
we re not sure .,nous ne sommes pas surs .
you re polite .,vous etes poli .
i m glad that you can come .,je me rejouis que vous puissiez venir .
they re both in love with the same girl .,ils sont tous les deux amoureux de la meme fille .
you re messing with me right ?,tu es en train de me chercher n est ce pas ?
i m not interested in a relationship .,je ne suis pas interessee par une relation .
you re the most important person in my life .,tu es la personne la plus importante dans ma vie .
i m exhausted .,je suis fourbu .
they re giving a big ball at the american embassy tonight .,ils donnent un grand bal a l ambassade americaine ce soir .
you re the most handsome man i ve ever seen .,vous etes le plus bel homme que j aie jamais vu .
she is always at the bottom of the class .,elle est toujours au bas de la classe .
she s been feeling a little on edge recently .,elle etait un peu a cran ces derniers temps .
i m so grateful to you for this opportunity .,je vous suis tellement reconnaissant pour cette opportunite .
i m not busy right now .,je ne suis pas occupe pour le moment .
i m writing to you on behalf of my mother .,je vous ecris au nom de ma mere .
i m not going to tell you again .,je ne vais pas te le repeter .
they re dangerous .,elles sont dangereuses .
he is likely to win the game .,il a des chances de gagner la partie .
you re very brave .,vous etes fort courageuses .
they re all terrified .,ils sont tous terrifies .
we re all going to die .,nous allons tous mourir .
i m swamped with work .,je suis submerge de travail .
he is old enough to travel alone .,il est assez grand pour voyager seul .
you re preaching to the choir .,tu preches une convaincue .
he is the happiest man on earth .,c est l homme le plus heureux du monde .
i m sorry for what i have done .,je suis desole pour ce que j ai fait .
i m afraid i have internal bleeding .,j ai peur d avoir une hemorragie interne .
i m glad to be the one who tells you .,je me rejouis d etre celui qui te l annonce .
you re safe .,vous etes saufs .
he s a widower with three small children to take care of .,c est un veuf avec trois jeunes enfants dont il doit s occuper .
i m turning the light off .,j eteins la lumiere .
i m getting used to it .,je m y habitue .
we re going to need your help after all .,apres tout nous allons avoir besoin de ton aide .
we aren t late are we ?,ne sommes nous pas trop tardifs ?
she is a pretty girl .,c est une fille mignonne .
we re objective .,nous sommes objectifs .
they re not a threat .,ils ne constituent pas une menace .
she s very afraid of dogs .,elle a tres peur des chiens .
we re eating beans .,nous mangeons des haricots .
you re very forward .,tu es fort effronte .
you re still too young to get a driver s license .,tu es trop jeune encore pour obtenir un permis de conduire .
i am not interested in material gain .,je ne suis pas interesse par le gain materiel .
you re good at doing that .,tu es bon a cela .
you re a good chess player .,vous etes un bon joueur d echecs .
he is more clever than me .,il est plus malin que moi .
i m not in love with anyone .,je ne suis amoureuse de personne .
you re fired .,tu es vire .
he s my half brother .,c est mon demi frere .
i m waiting for a phone call .,j attends un coup de fil .
she is wearing a hat .,elle porte un chapeau .
i m calm .,je suis calme .
you re the one who trained me .,c est vous qui m avez entraine .
he is by no means bright .,il n est pas du tout brillant .
i m truly sorry .,je suis sincerement desole .
i am a twin .,j ai un jumeau .
he is the father of two children .,il est pere de deux fils .
they re done .,ils ont termine .
you re the smartest man i know .,vous etes l homme le plus intelligent que je connaisse .
he is reading .,il est en train de lire .
you re absolutely correct .,vous avez parfaitement raison !
he is not always late .,il n est pas toujours en retard .
you re not normal .,vous n etes pas normal .
they are not very different from anybody else .,ils ne sont pas tres differents de qui que ce soit d autre .
i m going to the convenience store .,je vais a la superette .
you re a star .,vous etes une celebrite .
you re loaded .,t es bourre .
you re a good bassist .,tu es un bon bassiste .
we re not going to hurt you .,nous n allons pas vous faire de mal .
you re dirty .,tu es sale .
she is the executive editor .,elle est l editeur en chef .
you re going to ruin everything .,tu vas tout gacher .
i m not permitted to discuss that with you .,je suis pas autorise a parler de ca avec vous .
i m happy to be here .,je suis heureux d etre ici .
you re too young to go there alone .,tu es trop jeune pour y aller tout seul .
i m glad we re all in agreement .,je suis content que nous soyons tous d accord .
i m glad i invited you .,je suis heureuse de vous avoir invite .
i m not trying to say anything .,je ne tente pas de dire quoi que ce soit .
i m concerned .,je suis preoccupee .
he is a man who loves ceremonies .,c est un homme qui adore les ceremonies .
they re mad at you .,ils sont furieux apres vous .
i m studying several languages .,j apprends plusieurs langues .
i m sorry but i don t understand .,je suis desolee mais je ne comprends pas .
we re really drunk .,nous sommes vraiment saouls .
you re either with me or you re against me .,vous etes soit avec soit contre moi .
i m done with you .,j en ai fini de toi .
she is completely deaf in her left ear .,elle est completement sourde de l oreille gauche .
you re rich .,tu es riche .
i m getting married in october .,je vais me marier en octobre .
you re in love .,vous etes amoureuses .
they re lazy .,elles sont paresseuses .
he s likely to come .,il est probable qu il viendra .
i m not cooking .,je ne suis pas en train de faire la cuisine .
you are very insensitive .,vous etes tres indelicates .
you re such an idiot !,quelle idiote tu es !
i m not going to sell it .,je ne le vendrai pas .
i m about to leave .,je suis sur le depart .
she is no longer what she used to be .,elle n est plus ce qu elle etait .
she s a beauty .,c est une belle fille .
you re disappointed aren t you ?,vous etes decus n est ce pas ?
i m glad you were able to be with your parents on christmas day .,je suis heureux que vous ayez pu etre avec vos parents le jour de noel .
you aren t busy now are you ?,tu es disponible maintenant ?
we re stubborn .,nous sommes tetus .
we re still friends .,nous sommes toujours amis .
you re very direct .,vous etes tres directe .
i m not really worried .,je ne suis pas vraiment inquiet .
i m in the same boat .,je suis dans la meme galere .
you re organized .,vous etes organise .
i am tired of reading .,je suis fatigue de lire .
he is always reading .,il lit a longueur de temps .
i m happy with that .,j en suis content .
i m not scared at all .,je n ai pas peur du tout .
you re sleepy .,vous etes endormies .
they re early .,elles sont en avance .
i am deeply grateful to you for your kindness .,je te suis profondement reconnaissante pour ta gentillesse .
i m sorry but i don t speak french very well .,je suis desolee mais je ne parle par tres bien le francais .
they re part of a football team .,ils font partie d une equipe de foot .
i m a medic .,je suis toubib .
you re very sophisticated .,vous etes fort raffinee .
they re not going to be able to find the hotel .,ils ne vont pas pouvoir trouver l hotel .
you re talented .,tu es talentueuse .
we re used to waiting .,nous avons l habitude d attendre .
she s lost her car keys .,elle a perdu les cles de sa voiture .
you are not japanese .,vous n etes pas japonaises .
he s about the same age as you are .,il a a peu pres le meme age que vous .
you re the oldest .,vous etes le plus vieux .
you are blinded by love .,tu es aveuglee par l amour .
they re still not safe .,ils ne sont toujours pas en securite .
you are fantastic .,tu es formidable .
we are looking for someone who is proficient in french .,on cherche quelqu un qui peut parler francais dans un contexte professionnel .
he s here to protect you .,il est la pour te proteger .
i m going to work now .,je vais travailler maintenant .
he s very intelligent .,il est tres intelligent .
you re right about that .,tu as raison a ce sujet .
i m waiting for a call .,j attends un coup de fil .
i m relaxed .,je suis detendue .
i m stubborn .,je suis obstinee .
he is a member of the parish committee .,il est membre du conseil paroissial .
i m not that kind of person .,ce n est pas mon genre .
he is generous with his money .,il est genereux avec son argent .
we re in love .,nous sommes amoureuses .
you re no saint either .,vous n etes pas non plus une sainte .
we re in college .,nous sommes a la fac .
we re relatives .,nous sommes de la meme famille .
i m cleaning the house .,je fais le menage .
i am looking for room with twin beds .,je suis a la recherche d une chambre avec des lits jumeaux .
i m sorry i left my homework at home .,je suis desole j ai oublie mes devoirs chez moi .
you re not fit .,tu ne conviens pas .
i m going to reconsider it .,je vais y repenser encore une fois .
i m about the same age as you .,j ai a peu pres le meme age que toi .
he is fatter than when i last saw him .,il est plus gros que la derniere fois que je l ai vu .
i m very sorry i came home so late .,je suis vraiment desolee d etre rentre a la maison aussi tard .
i m going to be here for several days .,je reste plusieurs jours .
you re a bit taller than i am .,vous etes un peu plus grand que moi .
i m breast feeding my baby .,je donne le sein a mon bebe .
he s not the brightest guy in the world .,ce n est pas une lumiere .
you re apt to be forgetful .,tu as tendance a etre oublieux .
i m as old as you .,je suis aussi age que vous .
you are very insensitive .,vous etes tres indelicate .
i m sneaky .,je suis sournois .
he is above suspicion .,il est au dessus de tout soupcon .
he s doing it right .,il le fait comme il faut .
you re the one who trained me .,c est toi qui m as formee .
i m very hungry .,j ai la dalle .
she is always hard at work .,elle est toujours apre au travail .
you re done working aren t you ?,tu as fini de travailler non ?
he s scared of dogs .,il a peur des chiens .
you re no fun anymore .,tu n es plus amusant .
you re innocent .,tu es innocent .
he is the older of the two .,c est le plus age des deux .
i m trying to save room for dessert .,j essaie de garder de la place pour le dessert .
they re too fat .,ils sont trop gras .
i m getting off at the next stop .,je descends au prochain arret .
they re ugly .,ils sont moches .
i m very much obliged to you for your kindness .,je vous suis tres reconnaissant de votre generosite .
i m working again .,je recommence a travailler .
i m thinking of visiting you one of these days .,je pense a te rendre visite un de ces quatre .
you re disgusting .,vous etes degoutantes .
i m only going to say this once so listen carefully .,je ne vais dire ceci qu une seule fois alors ecoute avec attention !
i m still not sure i can do that .,je ne suis toujours pas sure que je puisse faire ca .
we re ready for anything .,nous sommes prets a tout .
he is hated by everyone .,il est deteste de tous .
i m glad to be the one who tells you .,je me rejouis d etre celui qui vous le dit .
we re from here .,nous sommes d ici .
she s not admitting her mistake .,elle n admet pas son erreur .
i m in boston today .,je suis a boston aujourd hui .
we re going to do that tomorrow .,nous allons faire cela demain .
i m retired too .,je suis egalement a la pension .
i m glad for this opportunity to work with you .,je suis content d avoir l opportunite de travailler avec vous .
i m going to need your help .,je vais avoir besoin de votre aide .
i m proud of my children .,je suis fiere de mes enfants .
you re generous .,vous etes genereux .
they re young and healthy .,ils sont jeunes et en bonne sante .
i m not sure if he saw it .,je ne suis pas sure qu il l ait vue .
you re reserved .,vous etes reserve .
we re getting nowhere .,nous n aboutissons nulle part .
we are both in the same class .,nous sommes tous les deux dans la meme classe .
you re unnecessary .,tu es inutile .
they re staring at you .,ils te regardent .
you are good .,vous etes bon .
she s my older sister .,c est ma s ur ainee .
i m doing my homework .,je suis en train de faire mes devoirs .
i m not ugly .,je ne suis pas laide .
he isn t actually the manager .,il n est pas vraiment le gerant .
i m not as busy as tom .,je ne suis pas aussi occupe que tom .
i am not any more foolish than you are .,je ne suis pas plus bete que toi .
i m going to make you an offer that you can t refuse .,je vais vous faire une proposition que vous ne pouvez pas refuser .
he is no fool .,il n est pas fou .
i m very fast .,je suis tres rapide .
i m good at japanese .,je parle bien japonais .
he is proud of having won the prize .,il est fier d avoir gagne le prix .
i m just curious .,je suis juste curieux .
he is a gentleman . he cannot have said such a thing .,c est un gentleman il ne peut avoir dit une telle chose .
i m sad without you .,je suis triste sans vous .
i m not selling you my car .,je refuse de vous vendre ma voiture .
i m sorry i didn t hear you .,je suis desole je ne vous ai pas entendues .
you re always doubting my word .,tu doutes toujours de ma parole .
i m going to be fourteen .,je vais avoir quatorze ans .
we re being watched .,nous sommes observes .
he is superior to her in math .,il est superieur a elle en maths .
you re grumpy .,vous etes bougonne .
you re both wrong .,vous avez toutes deux tort .
